season,quarter,hedge,spot
2009,1,0.6330,0.7258
2009,2,0.6531,0.7239
2009,3,0.6682,0.7047
2009,4,0.6835,0.7007
2009,5,0.6887,0.7178
2010,1,0.6927,0.7414
2010,2,0.7041,0.7623
2010,3,0.7231,0.7630
2010,4,0.7308,0.8169
2010,5,0.7519,0.8269
2011,1,0.7391,0.7956
2011,2,0.7690,0.7805
2011,3,0.7742,0.8253
2011,4,0.7804,0.7852
2011,5,0.7781,0.8019
2012,1,0.7874,0.8191
2012,2,0.8015,0.8357
2012,3,0.8026,0.8334
2012,4,0.7919,0.7909
2012,5,0.8043,0.8221
2013,1,0.8083,0.8283
2013,2,0.7997,0.8263
2013,3,0.8078,0.8580
2013,4,0.8194,0.8595
2013,5,0.8285,0.7998
2014,1,0.8035,0.7848
2014,2,0.7957,0.7628
2014,3,0.7943,0.7488
2014,4,0.7706,0.6749
2014,5,0.7625,0.6603
2015,1,0.7359,0.6581
2015,2,0.7231,0.6637
2015,3,0.7076,0.6803
2015,4,0.6849,0.7078
2015,5,0.6790,0.7069
2016,1,0.6766,0.7156
2016,2,0.6830,0.7117
2016,3,0.6922,0.6978
2016,4,0.7071,0.7364
2016,5,0.7136,0.7504
2017,1,0.6988,0.6968
2017,2,0.7097,0.7147
2017,3,0.7112,0.7172
2017,4,0.7050,0.6853
2017,5,0.7061,0.6821
2018,1,0.6919,0.6676
2018,2,0.6982,0.6805
2018,3,0.6895,0.6726
2018,4,0.6813,0.6573
2018,5,0.6809,0.6354
2019,1,0.6651,0.6366
2019,2,0.6693,0.6541
2019,3,0.6627,0.6079
2019,4,0.6565,0.6477
2019,5,0.6568,0.6647
2020,1,0.6477,0.6746
2020,2,0.6570,0.7134
2020,3,0.6637,0.7159
2020,4,0.6889,0.7049
2020,5,0.6826,0.7039
2021,1,0.6829,0.7039
2021,2,0.6964,0.6779
2021,3,0.6802,0.6707
2021,4,0.6878,0.6294
2021,5,0.6695,0.6287
