Month,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
June,100,0,0,0,100,150,100,100,100,400,250,150
July,300,50,250,250,250,350,200,250,400,700,500,225
August,500,250,600,450,600,750,500,500,800,800,800,500
September,750,500,950,750,1000,950,750,750,1000,1200,1100,850
October,1200,800,1200,1100,1300,1350,1000,1000,1200,1300,1400,1100
November,1500,1250,1500,1600,1600,1600,1400,1400,1500,1600,1700,1400
December,1700,1700,1750,1650,1800,1750,1600,1650,1750,2000,1800,1600
January,1900,2000,2000,2000,2000,2000,1900,2100,2200,2200,2000,1900
February,2100,2250,2300,2450,2200,2200,2100,2300,2500,2400,2300,2100
March,2250,2500,2500,2550,2450,2250,2250,2700,2700,2600,2500,2400
April,2300,2700,2600,2700,2650,2600,2500,2800,2750,2750,2600,2600
May,2550,2750,2750,2800,2750,2750,2750,2850,3000,2900,2650,2700
June(b),2750,2750,2900,3000,2950,2900,2900,2900,3000,3000,2700,2800
July(b),2800,2750,3000,3100,3000,2900,2950,2950,3000,3000,2700,2800
